numFeatures,fit_time_mean,fit_time_std,score_time_mean,score_time_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std
1,0.055,0.007,0.013,0.003,0.471,0.043,0.414,0.040,0.471,0.043,0.471,0.043,0.434,0.035,0.471,0.043,0.471,0.043
2,0.060,0.009,0.011,0.003,0.486,0.046,0.465,0.048,0.486,0.046,0.486,0.046,0.528,0.058,0.486,0.046,0.486,0.046
3,0.056,0.009,0.011,0.003,0.518,0.047,0.516,0.048,0.518,0.047,0.518,0.047,0.559,0.052,0.518,0.047,0.518,0.047
4,0.068,0.012,0.012,0.003,0.531,0.052,0.530,0.052,0.531,0.052,0.531,0.052,0.567,0.052,0.531,0.052,0.531,0.052
5,0.077,0.013,0.011,0.003,0.534,0.048,0.533,0.048,0.534,0.048,0.534,0.048,0.573,0.046,0.534,0.048,0.535,0.048
6,0.091,0.010,0.012,0.003,0.538,0.050,0.534,0.051,0.538,0.050,0.538,0.050,0.576,0.050,0.538,0.050,0.538,0.050
7,0.106,0.014,0.013,0.003,0.530,0.052,0.524,0.052,0.530,0.052,0.530,0.052,0.565,0.052,0.530,0.052,0.530,0.051
8,0.123,0.013,0.012,0.002,0.531,0.045,0.526,0.044,0.531,0.045,0.531,0.045,0.554,0.046,0.531,0.045,0.531,0.045
9,0.134,0.016,0.012,0.002,0.542,0.047,0.537,0.046,0.542,0.047,0.542,0.047,0.565,0.047,0.542,0.047,0.542,0.047
10,0.151,0.019,0.012,0.003,0.544,0.048,0.539,0.048,0.544,0.048,0.544,0.048,0.564,0.052,0.544,0.048,0.544,0.048
11,0.163,0.020,0.013,0.003,0.529,0.048,0.524,0.048,0.529,0.048,0.529,0.048,0.547,0.052,0.529,0.048,0.529,0.048
12,0.178,0.025,0.013,0.003,0.536,0.048,0.532,0.048,0.536,0.048,0.536,0.048,0.552,0.051,0.536,0.048,0.537,0.047
13,0.191,0.025,0.013,0.003,0.524,0.045,0.520,0.045,0.524,0.045,0.524,0.045,0.535,0.046,0.524,0.045,0.524,0.045
14,0.211,0.029,0.013,0.003,0.546,0.048,0.544,0.048,0.546,0.048,0.546,0.048,0.563,0.050,0.546,0.048,0.547,0.048
15,0.220,0.030,0.013,0.003,0.554,0.047,0.552,0.047,0.554,0.047,0.554,0.047,0.568,0.049,0.554,0.047,0.554,0.047
16,0.231,0.029,0.012,0.003,0.542,0.058,0.539,0.058,0.542,0.058,0.542,0.058,0.548,0.060,0.542,0.058,0.542,0.058
17,0.242,0.032,0.012,0.003,0.529,0.055,0.526,0.055,0.529,0.055,0.529,0.055,0.534,0.056,0.529,0.055,0.529,0.055
18,0.250,0.035,0.013,0.002,0.530,0.058,0.526,0.060,0.530,0.058,0.530,0.058,0.533,0.062,0.530,0.058,0.530,0.058
19,0.248,0.033,0.013,0.003,0.534,0.058,0.530,0.058,0.534,0.058,0.534,0.058,0.540,0.059,0.534,0.058,0.534,0.057
20,0.259,0.039,0.013,0.003,0.525,0.053,0.522,0.053,0.525,0.053,0.525,0.053,0.531,0.055,0.525,0.053,0.525,0.053
21,0.264,0.033,0.013,0.003,0.524,0.056,0.520,0.057,0.524,0.056,0.524,0.056,0.529,0.058,0.524,0.056,0.524,0.056
22,0.263,0.040,0.012,0.002,0.535,0.054,0.531,0.055,0.535,0.054,0.535,0.054,0.539,0.058,0.535,0.054,0.535,0.054
23,0.271,0.038,0.013,0.002,0.538,0.053,0.535,0.053,0.538,0.053,0.538,0.053,0.544,0.055,0.538,0.053,0.538,0.052
24,0.264,0.042,0.013,0.002,0.544,0.052,0.541,0.053,0.544,0.052,0.544,0.052,0.552,0.056,0.544,0.052,0.544,0.052
25,0.268,0.050,0.013,0.003,0.543,0.050,0.539,0.051,0.543,0.050,0.543,0.050,0.549,0.053,0.543,0.050,0.543,0.050
26,0.271,0.037,0.013,0.003,0.550,0.049,0.546,0.050,0.550,0.049,0.550,0.049,0.556,0.052,0.550,0.049,0.550,0.049
27,0.265,0.036,0.013,0.003,0.553,0.051,0.550,0.052,0.553,0.051,0.553,0.051,0.561,0.054,0.553,0.051,0.553,0.051
28,0.265,0.036,0.014,0.003,0.552,0.053,0.550,0.054,0.552,0.053,0.552,0.053,0.560,0.056,0.552,0.053,0.552,0.053
29,0.267,0.037,0.014,0.003,0.550,0.053,0.547,0.054,0.550,0.053,0.550,0.053,0.557,0.057,0.550,0.053,0.550,0.053
30,0.267,0.037,0.014,0.002,0.545,0.053,0.543,0.054,0.545,0.053,0.545,0.053,0.554,0.056,0.545,0.053,0.545,0.053
31,0.263,0.035,0.014,0.003,0.540,0.048,0.537,0.049,0.540,0.048,0.540,0.048,0.546,0.051,0.540,0.048,0.540,0.048
32,0.244,0.033,0.013,0.003,0.533,0.050,0.531,0.050,0.533,0.050,0.533,0.050,0.540,0.051,0.533,0.050,0.533,0.050
33,0.243,0.032,0.013,0.003,0.529,0.051,0.527,0.051,0.529,0.051,0.529,0.051,0.536,0.053,0.529,0.051,0.529,0.051
34,0.217,0.029,0.014,0.003,0.518,0.047,0.515,0.048,0.518,0.047,0.518,0.047,0.524,0.050,0.518,0.047,0.518,0.047
35,0.208,0.025,0.014,0.003,0.515,0.046,0.513,0.046,0.515,0.046,0.515,0.046,0.521,0.048,0.515,0.046,0.515,0.046
36,0.205,0.028,0.014,0.003,0.509,0.048,0.507,0.047,0.509,0.048,0.509,0.048,0.515,0.047,0.509,0.048,0.509,0.048
37,0.204,0.030,0.014,0.003,0.515,0.048,0.512,0.048,0.515,0.048,0.515,0.048,0.521,0.048,0.515,0.048,0.515,0.048
38,0.187,0.032,0.014,0.003,0.516,0.044,0.513,0.045,0.516,0.044,0.516,0.044,0.521,0.045,0.516,0.044,0.516,0.044
39,0.179,0.033,0.014,0.003,0.520,0.046,0.517,0.047,0.520,0.046,0.520,0.046,0.525,0.047,0.520,0.046,0.520,0.046
40,0.181,0.030,0.014,0.003,0.522,0.049,0.519,0.049,0.522,0.049,0.522,0.049,0.527,0.050,0.522,0.049,0.522,0.049
41,0.175,0.025,0.015,0.003,0.528,0.048,0.526,0.049,0.528,0.048,0.528,0.048,0.533,0.051,0.528,0.048,0.528,0.048
42,0.176,0.023,0.015,0.003,0.526,0.048,0.524,0.049,0.526,0.048,0.526,0.048,0.530,0.050,0.526,0.048,0.526,0.048
43,0.171,0.025,0.015,0.003,0.532,0.046,0.530,0.047,0.532,0.046,0.532,0.046,0.536,0.048,0.532,0.046,0.532,0.046
44,0.164,0.026,0.015,0.003,0.536,0.047,0.533,0.047,0.536,0.047,0.536,0.047,0.540,0.049,0.536,0.047,0.536,0.047
45,0.161,0.023,0.015,0.003,0.539,0.049,0.536,0.050,0.539,0.049,0.539,0.049,0.542,0.052,0.539,0.049,0.539,0.049
46,0.159,0.020,0.015,0.003,0.551,0.047,0.549,0.047,0.551,0.047,0.551,0.047,0.555,0.048,0.551,0.047,0.552,0.047
47,0.143,0.023,0.015,0.003,0.562,0.047,0.560,0.048,0.562,0.047,0.562,0.047,0.566,0.050,0.562,0.047,0.562,0.047
48,0.133,0.018,0.015,0.003,0.565,0.054,0.563,0.056,0.565,0.054,0.565,0.054,0.571,0.057,0.565,0.054,0.565,0.055
49,0.125,0.024,0.013,0.003,0.566,0.052,0.564,0.053,0.566,0.052,0.566,0.052,0.571,0.055,0.566,0.052,0.566,0.052
50,0.130,0.017,0.015,0.003,0.566,0.051,0.564,0.053,0.566,0.051,0.566,0.051,0.571,0.055,0.566,0.051,0.566,0.051
51,0.127,0.020,0.015,0.003,0.566,0.053,0.565,0.055,0.566,0.053,0.566,0.053,0.571,0.057,0.566,0.053,0.567,0.053
52,0.126,0.019,0.015,0.003,0.569,0.053,0.567,0.054,0.569,0.053,0.569,0.053,0.574,0.057,0.569,0.053,0.569,0.053
53,0.129,0.018,0.015,0.003,0.568,0.051,0.566,0.053,0.568,0.051,0.568,0.051,0.573,0.055,0.568,0.051,0.568,0.051
54,0.127,0.019,0.015,0.003,0.568,0.054,0.566,0.055,0.568,0.054,0.568,0.054,0.572,0.058,0.568,0.054,0.568,0.054
55,0.126,0.019,0.015,0.003,0.567,0.053,0.565,0.054,0.567,0.053,0.567,0.053,0.571,0.056,0.567,0.053,0.567,0.053
56,0.127,0.018,0.015,0.003,0.567,0.052,0.565,0.053,0.567,0.052,0.567,0.052,0.571,0.055,0.567,0.052,0.567,0.052
57,0.126,0.019,0.016,0.003,0.566,0.050,0.564,0.051,0.566,0.050,0.566,0.050,0.571,0.053,0.566,0.050,0.566,0.050
58,0.121,0.021,0.015,0.003,0.569,0.050,0.567,0.051,0.569,0.050,0.569,0.050,0.573,0.052,0.569,0.050,0.569,0.050
59,0.121,0.021,0.015,0.004,0.566,0.053,0.564,0.054,0.566,0.053,0.566,0.053,0.571,0.055,0.566,0.053,0.566,0.053
60,0.127,0.015,0.015,0.003,0.567,0.054,0.565,0.055,0.567,0.054,0.567,0.054,0.572,0.056,0.567,0.054,0.567,0.054
61,0.128,0.016,0.016,0.003,0.568,0.050,0.566,0.051,0.568,0.050,0.568,0.050,0.573,0.053,0.568,0.050,0.568,0.050
62,0.123,0.017,0.016,0.004,0.574,0.048,0.572,0.049,0.574,0.048,0.574,0.048,0.579,0.050,0.574,0.048,0.574,0.048
63,0.124,0.019,0.016,0.004,0.572,0.048,0.571,0.049,0.572,0.048,0.572,0.048,0.578,0.050,0.572,0.048,0.572,0.048
64,0.111,0.017,0.015,0.004,0.571,0.049,0.569,0.050,0.571,0.049,0.571,0.049,0.576,0.051,0.571,0.049,0.571,0.049
65,0.114,0.016,0.015,0.004,0.576,0.047,0.575,0.048,0.576,0.047,0.576,0.047,0.583,0.049,0.576,0.047,0.576,0.048
66,0.115,0.017,0.016,0.003,0.571,0.050,0.570,0.051,0.571,0.050,0.571,0.050,0.577,0.051,0.571,0.050,0.571,0.050
67,0.113,0.021,0.015,0.004,0.576,0.052,0.574,0.054,0.576,0.052,0.576,0.052,0.582,0.055,0.576,0.052,0.576,0.052
68,0.110,0.019,0.015,0.004,0.577,0.052,0.575,0.052,0.577,0.052,0.577,0.052,0.583,0.054,0.577,0.052,0.577,0.052
69,0.118,0.016,0.016,0.004,0.579,0.053,0.578,0.054,0.579,0.053,0.579,0.053,0.586,0.054,0.579,0.053,0.579,0.053
70,0.115,0.015,0.016,0.004,0.581,0.051,0.580,0.052,0.581,0.051,0.581,0.051,0.586,0.053,0.581,0.051,0.581,0.051
71,0.113,0.016,0.016,0.004,0.579,0.052,0.578,0.052,0.579,0.052,0.579,0.052,0.584,0.052,0.579,0.052,0.579,0.052
72,0.108,0.016,0.016,0.004,0.577,0.051,0.576,0.052,0.577,0.051,0.577,0.051,0.583,0.052,0.577,0.051,0.577,0.052
73,0.112,0.015,0.016,0.004,0.580,0.052,0.578,0.053,0.580,0.052,0.580,0.052,0.585,0.053,0.580,0.052,0.580,0.052
74,0.106,0.017,0.016,0.004,0.579,0.052,0.577,0.052,0.579,0.052,0.579,0.052,0.584,0.053,0.579,0.052,0.579,0.052
75,0.112,0.015,0.016,0.004,0.576,0.049,0.574,0.049,0.576,0.049,0.576,0.049,0.582,0.050,0.576,0.049,0.576,0.049
76,0.112,0.016,0.017,0.004,0.578,0.050,0.576,0.051,0.578,0.050,0.578,0.050,0.583,0.052,0.578,0.050,0.578,0.050
77,0.114,0.016,0.017,0.004,0.579,0.049,0.577,0.050,0.579,0.049,0.579,0.049,0.585,0.050,0.579,0.049,0.579,0.049
78,0.117,0.013,0.018,0.004,0.578,0.048,0.576,0.049,0.578,0.048,0.578,0.048,0.584,0.050,0.578,0.048,0.578,0.048
79,0.115,0.014,0.018,0.004,0.582,0.048,0.580,0.049,0.582,0.048,0.582,0.048,0.588,0.049,0.582,0.048,0.582,0.048
80,0.107,0.014,0.017,0.004,0.582,0.049,0.580,0.050,0.582,0.049,0.582,0.049,0.588,0.050,0.582,0.049,0.582,0.049
81,0.106,0.014,0.016,0.004,0.590,0.050,0.589,0.050,0.590,0.050,0.590,0.050,0.597,0.048,0.590,0.050,0.590,0.050
82,0.099,0.017,0.015,0.004,0.588,0.050,0.587,0.050,0.588,0.050,0.588,0.050,0.594,0.049,0.588,0.050,0.588,0.050
83,0.103,0.017,0.016,0.004,0.588,0.052,0.586,0.053,0.588,0.052,0.588,0.052,0.593,0.052,0.588,0.052,0.588,0.052
84,0.106,0.013,0.016,0.004,0.588,0.050,0.586,0.051,0.588,0.050,0.588,0.050,0.593,0.051,0.588,0.050,0.588,0.050
85,0.104,0.017,0.016,0.004,0.592,0.050,0.590,0.051,0.592,0.050,0.592,0.050,0.597,0.050,0.592,0.050,0.592,0.050
86,0.113,0.011,0.017,0.004,0.595,0.050,0.593,0.051,0.595,0.050,0.595,0.050,0.600,0.052,0.595,0.050,0.595,0.051
87,0.111,0.014,0.018,0.004,0.594,0.049,0.592,0.050,0.594,0.049,0.594,0.049,0.600,0.049,0.594,0.049,0.594,0.049
88,0.114,0.011,0.017,0.004,0.594,0.049,0.592,0.050,0.594,0.049,0.594,0.049,0.600,0.050,0.594,0.049,0.594,0.049
89,0.111,0.014,0.017,0.004,0.591,0.051,0.590,0.051,0.591,0.051,0.591,0.051,0.598,0.050,0.591,0.051,0.591,0.051
90,0.114,0.013,0.018,0.004,0.594,0.048,0.592,0.049,0.594,0.048,0.594,0.048,0.600,0.048,0.594,0.048,0.594,0.049
91,0.111,0.015,0.017,0.004,0.594,0.051,0.593,0.051,0.594,0.051,0.594,0.051,0.601,0.050,0.594,0.051,0.594,0.051
92,0.118,0.016,0.019,0.005,0.592,0.050,0.591,0.051,0.592,0.050,0.592,0.050,0.599,0.051,0.592,0.050,0.592,0.050
93,0.119,0.014,0.019,0.005,0.593,0.050,0.592,0.050,0.593,0.050,0.593,0.050,0.599,0.050,0.593,0.050,0.593,0.050
